event_name,date,start_date,end_date,start_time,end_time,description,teamapp_url,category,category_key,event_id
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/16458734,Other,other,16458734

Weekly Club Meeting + Weekly BBQ,2022-07-28,2022-07-28,2022-07-28,19:00,20:00,"**Join us for our weekly club meetings! RSVP here**
\n
\n**Activities**
\n- Trip planning
\n- Trip debrief 
\n- Gear Hire & Returns
\n- Membership signups 
\n- Meet & Greet 
\n- All things admin
\n
\nNeed anything specific? Enquire via chat. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/15929674,Club Meetings,club-meetings,15929674

Friday shore diving Mornington,2022-07-29,2022-07-29,2022-07-29,00:00,23:59,"Essential Trip Info—\nTrip Leader: Patrick \nLeader Phone: 0449556095\nSecondary Trip Contact:\nTrip Type: shore\nDifficulty: ow\nNo. of Planned Dives: 2\nMandatory Equipment:  smb jumper and some food and water to drink\n2 xTorches\n\n\nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing \n\n—Briefing— \nWater Temperature: 10\nWeather Conditions: N light\n\n\nDescription\nMeet up at 4pm at the shed to departure\n4.15pm \n\nSubject to change dive site depending on weather conditions \n\n\nFor leader\nPlease fill the form out before departure \nhttps://form.jotform.co/93318834442864 \n\nGear Hire Policy\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. \n\n—COVID Safety— \n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. \n- Complete a symptom self-assessment before leaving home. Do not come to the event if you are unwell, even with very mild symptoms\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose/cough/aches/pain/nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Maintain 1.5 metres distance from others during the event, where possible.\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.\n- Minimise movement as much as possible by staying within your allotted space or seat.\n- Follow directions for face coverings and hygiene during the event.\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. \n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/18040971,Shore,shore,18040971

CDAA BASIC CAVE,2022-07-30,2022-07-30,2022-08-04,00:00,23:59,"If you have always wanted to try cave diving, experience unparalleled adventures, and see the world beneath the ground, this is where it starts.
\n
\nGet your entry-level cave certification - CDAA Basic Cave Diver.
\n
\nA Cavern is a body of freshwater which has a maximum depth of 20 meters, has slight overhangs, near-vertical ascents, and where daylight is always visible (e.g. limestone caverns, dams, flooded quarries, lakes, etc.). A Sinkhole is a body of freshwater which exceeds a depth of 20 meters, can have large passages, and where no restriction is too small for two divers to swim adjacent to each other.
\n
\nTo enroll you must hold an Advanced Open Water recreational SCUBA diver award or equivalent and be qualified as an Open Water diver for a minimum of 12 months. 
\n
\nCourse outline (subject to change depending on the weather or other reasons)
\n
\nminimum 4 students to run the course
\n
\nThursday orientation night at shed (the official first day of the course) on 21/07/2022",https://muuc.teamapp.com/clubs/132307/events/17241449,Other,other,17241449

Williamstown Night Dive,2022-07-30,2022-07-30,2022-07-30,16:30,23:00,"—Essential Trip Info—\nTrip Leader: Adam Reade\nLeader Phone: 0426191607\nSecondary Trip Contact: \nTrip Type: Night shore dive\nDifficulty: OW\nNo. of Planned Dives: 1\nMandatory Equipment: SMB + 2 torches \nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing \n\nDate: Saturday 30th July, 4.30 meet up at shed, 5pm departure. \n\n—Briefing— \nWater Temperature: 10C 🥶 \nWeather Conditions: Northerly \n\nDescription: Williamstown beach dive. Meet at 4.30pm for a 5 departure and in the water by around 6. Going to be very cold so rug up! Night dive so 2 torches and previous experience please 🙏. Should be fun! \n\n——\nGear Hire Policy\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. \n\n—COVID Safety— \n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. \n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Maintain 1.5 metres distance from others during the event, where possible.\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.\n- Minimise movement as much as possible by staying within your allotted space or seat.\n- Follow directions for face coverings and hygiene during the event.\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. \n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/18039610,Other,other,18039610

TemplateTrip - Duplicate by pressing Duplicate,2022-07-31,2022-07-31,2022-07-31,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**: Chi Wong
\n**Leader Phone**: 0450706585
\n**Secondary Trip Contact**: Burak 0428422828
\n**Trip Type**:  <Shore>
\n**Difficulty**: <OW/AOW/etc>
\n**No. of Planned Dives**: 1 
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: <XXC> 
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>
\n
\n**Description**\n\n——
\n**Gear Hire Policy**\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/17451277,Other,other,17451277

Uni pool session on Wednesday night 3rd August,2022-08-03,2022-08-03,2022-08-03,18:00,21:00,"Essential Trip Info—\nTrip leader: Maciej \nLeader Phone: 0481947622\nSecondary Trip Contact:\nTrip Type: pool \nDifficulty: easy \nNo. of Planned Dives: 1\nMandatory Equipment: \n\nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing \n\n—Briefing— \nWater Temperature: warm\nWeather Conditions: should be good \n\nDescription\nMeet up at 6 pm at the shed to move on to the pool by 6.45 pm can be sorted rental gear also at the same time\nThis session would be ideal for the diver who hasn’t been underwater for more than 6 months \n\nPoll using time \n7pm to 8:30 pm \n\nBack on shed approx 9pm to wash & put gear back \n\nSession fee is $30 including rental gear \n\nFor leader\nPlease fill the form out before departure \nhttps://form.jotform.co/93318834442864 \n\nGear Hire Policy\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. \n\n—COVID Safety— \n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. \n- Complete a symptom self-assessment before leaving home. Do not come to the event if you are unwell, even with very mild symptoms\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose/cough/aches/pain/nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Maintain 1.5 metres distance from others during the event, where possible.\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.\n- Minimise movement as much as possible by staying within your allotted space or seat.\n- Follow directions for face coverings and hygiene during the event.\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. \n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/17653984,Other,other,17653984

TemplateTrip - Duplicate by pressing Duplicate,2022-08-04,2022-08-04,2022-08-04,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**:
\n**Leader Phone**:
\n**Secondary Trip Contact**:
\n**Trip Type**:  <Boat/Shore>
\n**Difficulty**: <OW/AOW/etc>
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: <XXC> 
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>
\n
\n**Description**\n\n——
\n**Gear Hire Policy**\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/16458735,Other,other,16458735

Committee Meeting,2022-08-04,2022-08-04,2022-08-04,18:00,19:00,"We need input from Andrea and Maciej on the boat and compressor/nitrox upgrade. 
\n
\nWe need to schedule a strategic meeting
\n
\ni.e. Nitrox, O2 cleaning, O2, Blue Devil Engine replacement, etc
\n
\nPlease try to attend.
\nhttps://docs.google.com/document/d/1LlhM1r7PY6w7IN_UvXHUrWLPc5_xNGvwc6VA4PMSSTw/edit?usp=sharing",https://muuc.teamapp.com/clubs/132307/events/17555467,Other,other,17555467

Weekly Club Meeting + Weekly BBQ,2022-08-04,2022-08-04,2022-08-04,19:00,20:00,"**Join us for our weekly club meetings! RSVP here**
\n
\n**Activities**
\n- Trip planning
\n- Trip debrief 
\n- Gear Hire & Returns
\n- Membership signups 
\n- Meet & Greet 
\n- All things admin
\n
\nNeed anything specific? Enquire via chat. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/15929675,Club Meetings,club-meetings,15929675

Saturday balir shore diving,2022-08-06,2022-08-06,2022-08-06,00:00,23:59,"Essential Trip Info—\nTrip Leader: Jacob \nLeader Phone: 0493395894\nSecondary Trip Contact:woody 0404641158\nTrip Type: shore\nDifficulty: easy\nNo. of Planned Dives: 2\nMandatory Equipment:  smb jumper and some food and water to drink\n\n\nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing \n\n—Briefing— \nWater Temperature: 10\nWeather Conditions: N light\n\n\nDescription\nMeet up at 8am at the shed to departure\n8.30am \n\nSubject to change dive site depending on weather conditions \n\n\nFor leader\nPlease fill the form out before departure \nhttps://form.jotform.co/93318834442864 \n\nGear Hire Policy\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. \n\n—COVID Safety— \n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. \n- Complete a symptom self-assessment before leaving home. Do not come to the event if you are unwell, even with very mild symptoms\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose/cough/aches/pain/nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Maintain 1.5 metres distance from others during the event, where possible.\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.\n- Minimise movement as much as possible by staying within your allotted space or seat.\n- Follow directions for face coverings and hygiene during the event.\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. \n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/18115827,Shore,shore,18115827

Sunday Boat Trip,2022-08-07,2022-08-07,2022-08-07,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**: Maciej Necki
\n**Leader Phone**: 0481947622
\n**Secondary Trip Contact**: Kevin Sek (0432960331)
\n**Trip Type**:  Boat
\n**Difficulty**: OW
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: SMB
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: 10C 
\n**Weather Conditions**: Calm
\n
\n**Description**\nPhilip Island yo~\n\n\n——
\n**Gear Hire Policy**\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/18115875,Boat,boat,18115875

TemplateTrip - Duplicate by pressing Duplicate,2022-08-07,2022-08-07,2022-08-07,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**: Chi Wong
\n**Leader Phone**: 0450706585
\n**Secondary Trip Contact**: Burak 0428422828
\n**Trip Type**:  <Shore>
\n**Difficulty**: <OW/AOW/etc>
\n**No. of Planned Dives**: 1 
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: <XXC> 
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>
\n
\n**Description**\n\n——
\n**Gear Hire Policy**\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/17451278,Other,other,17451278

TemplateTrip - Duplicate by pressing Duplicate,2022-08-11,2022-08-11,2022-08-11,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**:
\n**Leader Phone**:
\n**Secondary Trip Contact**:
\n**Trip Type**:  <Boat/Shore>
\n**Difficulty**: <OW/AOW/etc>
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: <XXC> 
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>
\n
\n**Description**\n\n——
\n**Gear Hire Policy**\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/16458736,Other,other,16458736

Weekly Club Meeting + Weekly BBQ,2022-08-11,2022-08-11,2022-08-11,19:00,20:00,"**Join us for our weekly club meetings! RSVP here**
\n
\n**Activities**
\n- Trip planning
\n- Trip debrief 
\n- Gear Hire & Returns
\n- Membership signups 
\n- Meet & Greet 
\n- All things admin
\n
\nNeed anything specific? Enquire via chat. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/15929676,Club Meetings,club-meetings,15929676

Enriched Air Diver (Nitrox) Course,2022-08-13,2022-08-13,2022-08-13,00:00,23:59,"Enriched Air Diver (Nitrox) Course is the most popular diving specialty as it gives you more no-decompression limit (NDL), which means you can stay longer at the bottom, especially on repetitive scuba dives.
\n
\n
\nCourse outline (subject to change depending on the weather or other reasons)
\n
\nminimum 4 students to run the course
\n
\nThursday orientation night at shed (the official first day of the course) on 04/08/2022",https://muuc.teamapp.com/clubs/132307/events/17241477,Courses,courses,17241477

Saturday Boat Dives [Cancelled],2022-08-13,2022-08-13,2022-08-13,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**: Maciej Necki
\n**Leader Phone**: 0481947622
\n**Secondary Trip Contact**: Kris Kim()
\n**Trip Type**:  Boat
\n**Difficulty**: OW
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: SMB
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: 11C 
\n**Weather Conditions**: Calm
\n
\n**Description**\nBay dives, wall and maybe some wrecks. \n\n\n——
\n**Gear Hire Policy**\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/18193289,Cancelled,cancelled,18193289

DRY SUIT COURSE,2022-08-14,2022-08-14,2022-08-14,00:00,23:59,"No more coldness while diving, especially during surface intervals!  When diving in cold water, having drysuit will enable you to achieve a comfortable dive and protect yourself from hypothermia.  In this course, certified ASKDIVING professionals will train you to get comfortable with your dry suit.  It’s much easier than you think and the benefits are worth it!
\n
\nstudents must have own drysuit
\n
\n
\nCourse outline (subject to change depending on the weather or other reasons)
\n
\nminimum 4 students to run the course
\n
\nThursday orientation night at shed (the official first day of the course) on 04/08/2022",https://muuc.teamapp.com/clubs/132307/events/17241492,Courses,courses,17241492

Mornington Pier sunday,2022-08-14,2022-08-14,2022-08-14,00:00,23:59,"Essential Trip Info—\nTrip Leader: daniel\nLeader Phone: 0403136928\nSecondary Trip Contact: \nTrip Type: shore\nDifficulty: easy\nNo. of Planned Dives: 1\nMandatory Equipment:  smb jumper and some food and water to drink\n\n\nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing \n\n—Briefing— \nWater Temperature: 10\nWeather Conditions: N light\n\n\nDescription\nMeet up at 9am at the shed to departure\n9.30am \n\nSubject to change dive site depending on weather conditions \n\n\nFor leader\nPlease fill the form out before departure \nhttps://form.jotform.co/93318834442864 \n\nGear Hire Policy\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. \n\n—COVID Safety— \n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. \n- Complete a symptom self-assessment before leaving home. Do not come to the event if you are unwell, even with very mild symptoms\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose/cough/aches/pain/nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Maintain 1.5 metres distance from others during the event, where possible.\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.\n- Minimise movement as much as possible by staying within your allotted space or seat.\n- Follow directions for face coverings and hygiene during the event.\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. \n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/18193449,Other,other,18193449

TemplateTrip - Duplicate by pressing Duplicate,2022-08-14,2022-08-14,2022-08-14,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**: Chi Wong
\n**Leader Phone**: 0450706585
\n**Secondary Trip Contact**: Burak 0428422828
\n**Trip Type**:  <Shore>
\n**Difficulty**: <OW/AOW/etc>
\n**No. of Planned Dives**: 1 
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: <XXC> 
